epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,19.1742,1.47066,5.93121,0.00662,0.0087,0.66202,0.09438,0.0568,1.02761,6.1473,0.00526,0.00017255,0.00017255,0.00017255
2,32.7858,1.29374,4.13098,0.00553,0.65346,0.19606,0.33775,0.23957,0.96447,4.5268,0.00478,0.00034444,0.00034444,0.00034444
3,46.2818,1.20878,3.18872,0.00515,0.54677,0.54489,0.58835,0.42615,1.00805,3.1258,0.00515,0.000512857,0.000512857,0.000512857
4,59.5764,1.16568,2.45132,0.00501,0.61522,0.62634,0.68008,0.5063,0.95974,2.31442,0.00489,0.000510378,0.000510378,0.000510378
5,72.8189,1.09942,1.92633,0.00465,0.72067,0.7647,0.82287,0.64153,0.85828,1.5207,0.00426,0.00050517,0.00050517,0.00050517
6,86.0395,1.05213,1.59257,0.00438,0.7451,0.80253,0.85351,0.68291,0.7945,1.19281,0.00384,0.000499963,0.000499963,0.000499963
7,99.1334,1.01992,1.35466,0.00434,0.76844,0.82462,0.89529,0.7027,0.8494,1.00047,0.00417,0.000494756,0.000494756,0.000494756
8,111.982,0.98395,1.17664,0.00407,0.82514,0.83851,0.9147,0.74323,0.77052,0.81699,0.00375,0.000489548,0.000489548,0.000489548
9,125.021,0.95992,1.07794,0.00404,0.82559,0.86644,0.92872,0.75518,0.7739,0.74922,0.00376,0.000484341,0.000484341,0.000484341
10,138.512,0.95883,1.01111,0.00403,0.83784,0.85694,0.92486,0.74903,0.76558,0.68966,0.00373,0.000479133,0.000479133,0.000479133
11,151.753,0.9495,0.9767,0.00388,0.88375,0.88843,0.95657,0.79299,0.71778,0.55747,0.00349,0.000473926,0.000473926,0.000473926
12,165.178,0.91526,0.89026,0.00379,0.85072,0.89147,0.94986,0.78658,0.72069,0.55678,0.00351,0.000468719,0.000468719,0.000468719
13,178.319,0.90715,0.85543,0.00376,0.88921,0.87862,0.95262,0.7901,0.71479,0.52271,0.00354,0.000463511,0.000463511,0.000463511
14,191.951,0.88709,0.81811,0.00365,0.89009,0.8923,0.95874,0.7954,0.71253,0.4871,0.0034,0.000458304,0.000458304,0.000458304
15,205.1,0.87176,0.80605,0.00355,0.9181,0.89953,0.96834,0.81133,0.67999,0.43997,0.00331,0.000453096,0.000453096,0.000453096
16,218.113,0.86567,0.75183,0.0035,0.9106,0.91581,0.97118,0.81904,0.66903,0.42545,0.0033,0.000447889,0.000447889,0.000447889
17,231.915,0.85645,0.73804,0.0035,0.92963,0.8995,0.97322,0.81654,0.67515,0.41534,0.00324,0.000442682,0.000442682,0.000442682
18,245.068,0.84648,0.72425,0.00345,0.91146,0.89804,0.96637,0.81654,0.65401,0.41346,0.0032,0.000437474,0.000437474,0.000437474
